snapshot_at,kind,drive_path,title,id,mime_type,url,created_time,modified_time,local_path,download_status,size_bytes,sha256,export_note,error
2026-07-04T00:00:00+07:00,folder,/,version 20260701_100006,18k6oGkD4RJMhcKNjsVc178x2S2f6iur5,application/vnd.google-apps.folder,https://drive.google.com/drive/folders/18k6oGkD4RJMhcKNjsVc178x2S2f6iur5,2026-07-01T07:54:19.428Z,2026-07-01T07:54:19.428Z,,listed,,,Folder listed from Google Drive; contents represented by child rows.,
2026-07-04T00:00:00+07:00,folder,/curriculum_sources,curriculum_sources,1RkD8BA-GGmJ8u2fSZ_EJ5iQIx_uR1160,application/vnd.google-apps.folder,https://drive.google.com/drive/folders/1RkD8BA-GGmJ8u2fSZ_EJ5iQIx_uR1160,2026-07-03T08:13:20.659Z,2026-07-03T08:13:20.659Z,,listed,,,Folder listed from Google Drive; contents represented by child rows.,
2026-07-04T00:00:00+07:00,folder,/literature_review,literature_review,1dT9QCH8vX-J8rP_bhqooasimYX7WOgDs,application/vnd.google-apps.folder,https://drive.google.com/drive/folders/1dT9QCH8vX-J8rP_bhqooasimYX7WOgDs,2026-07-03T08:02:33.472Z,2026-07-03T08:02:33.472Z,,listed,,,Folder listed from Google Drive; contents represented by child rows.,
2026-07-04T00:00:00+07:00,folder,/teacher_packet,teacher_packet,1qlXEmspY00ZovtpzEOLCjiPiYQJuP5vP,application/vnd.google-apps.folder,https://drive.google.com/drive/folders/1qlXEmspY00ZovtpzEOLCjiPiYQJuP5vP,2026-07-01T08:00:19.291Z,2026-07-01T08:00:59.210Z,,listed,,,Folder listed from Google Drive; contents represented by child rows.,
2026-07-04T00:00:00+07:00,file,/curriculum_sources/README.md,README.md,1u40i_gh1s46G1PyA9mYPAFlTQMtWmwzAGJA752Cs9PA,application/vnd.google-apps.document,https://docs.google.com/document/d/1u40i_gh1s46G1PyA9mYPAFlTQMtWmwzAGJA752Cs9PA/edit?usp=drivesdk,2026-07-03T08:13:38.675Z,2026-07-03T08:14:21.593Z,files/curriculum_sources/README.md,downloaded,1481,a52d550c49453309d80eb298ab9aeda91d572a3bcaa890f75db46482263be694,Google Doc exported as plain text/Markdown-like content; response content-type=text/plain; charset=utf-8,
2026-07-04T00:00:00+07:00,file,/curriculum_sources/source_registry,source_registry,1OCoUYEvUGbQFSPWM0jIKztd6Qj52xIj0IQ9WPkksfzc,application/vnd.google-apps.spreadsheet,https://docs.google.com/spreadsheets/d/1OCoUYEvUGbQFSPWM0jIKztd6Qj52xIj0IQ9WPkksfzc/edit?usp=drivesdk,2026-07-03T08:13:38.675Z,2026-07-03T08:14:17.195Z,files/curriculum_sources/source_registry.xlsx,downloaded,6101,6895fac7117914a5e332f8611c1c6c7749515fedd076bd5ef879ece36913305b,Google Sheet exported as xlsx; response content-type=application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
2026-07-04T00:00:00+07:00,file,/curriculum_sources/curriculum_reference_matrix,curriculum_reference_matrix,1VS_M8zq0ZI1ybI275omMWbDFfZxs6Sr7weqxEA2Tp1s,application/vnd.google-apps.spreadsheet,https://docs.google.com/spreadsheets/d/1VS_M8zq0ZI1ybI275omMWbDFfZxs6Sr7weqxEA2Tp1s/edit?usp=drivesdk,2026-07-03T08:13:38.675Z,2026-07-03T08:14:10.932Z,files/curriculum_sources/curriculum_reference_matrix.xlsx,downloaded,56757,eb3c3a77c08246436cf94bc7b9d2014ca0728ce609d6e6876b3a8d7eedc0f1b1,Google Sheet exported as xlsx; response content-type=application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
2026-07-04T00:00:00+07:00,file,/curriculum_sources/02-Tai-lieu-tim-hieu-Chuong-trinh-mon-Tin-hoc-2019.pdf,02-Tai-lieu-tim-hieu-Chuong-trinh-mon-Tin-hoc-2019.pdf,1s6oVhxLZM3HBCje4iquFReU3ieDZe6U1,application/pdf,https://drive.google.com/file/d/1s6oVhxLZM3HBCje4iquFReU3ieDZe6U1/view?usp=drivesdk,2026-07-03T08:13:38.675Z,2026-07-03T08:14:06.256Z,files/curriculum_sources/02-Tai-lieu-tim-hieu-Chuong-trinh-mon-Tin-hoc-2019.pdf,downloaded,1776774,54e53d7ad4e3f1e95b749dd771fa85f366dbec18f6e28d1cc27b2f54778e9478,Raw PDF download; response content-type=application/octet-stream,
2026-07-04T00:00:00+07:00,file,/curriculum_sources/01-Chuong-trinh-GDPT-mon-Tin-hoc-2018.pdf,01-Chuong-trinh-GDPT-mon-Tin-hoc-2018.pdf,1KwV0MiNOMAkSezkMkk9jHR7nf0bfnWRX,application/pdf,https://drive.google.com/file/d/1KwV0MiNOMAkSezkMkk9jHR7nf0bfnWRX/view?usp=drivesdk,2026-07-03T08:13:38.675Z,2026-07-03T08:14:01.685Z,files/curriculum_sources/01-Chuong-trinh-GDPT-mon-Tin-hoc-2018.pdf,downloaded,785393,0cde1d108b90546ee2976b35a19b7acc56e61a292da2b27985a73238db3fb4f4,Raw PDF download; response content-type=application/octet-stream,
2026-07-04T00:00:00+07:00,file,/literature_review/rapid_review.md,rapid_review.md,1pYIhXSC0-DVedmKNFmpL9I04kKOsrqv8bfKez3rdwoc,application/vnd.google-apps.document,https://docs.google.com/document/d/1pYIhXSC0-DVedmKNFmpL9I04kKOsrqv8bfKez3rdwoc/edit?usp=drivesdk,2026-07-03T08:02:42.238Z,2026-07-03T08:03:50.381Z,files/literature_review/rapid_review.md,downloaded,6095,6597bb1aa80465f29adbc234dc0d1ef874244b15fb7f14e05ff5fecb4b3355d2,Google Doc exported as plain text/Markdown-like content; response content-type=text/plain; charset=utf-8,
2026-07-04T00:00:00+07:00,file,/literature_review/review_log.csv,review_log.csv,1uFbj-5ZMWM2tLcutp4gRYw_PFLb7xDKf,text/csv,https://drive.google.com/file/d/1uFbj-5ZMWM2tLcutp4gRYw_PFLb7xDKf/view?usp=drivesdk,2026-07-03T08:02:42.238Z,2026-07-03T08:03:37.099Z,files/literature_review/review_log.csv,downloaded,20335,6f5d5075db13c83c3445a03096a3918eeceb3acea441d74e4d540a28da957cf3,Raw CSV download; response content-type=application/octet-stream,
