duplicate_group_id,sha256,size_bytes,member_count,redundant_bytes,path,git_state,target_id
DUP-0001,7f6ba671a0c352f8c8fc4be07ba8ed6f89e28ec759a5e0d92a1b1a997a93cd5d,5079433,2,5079433,experiments/20260709_155523/outputs/hnmu_dialogue_audit_grade8_9/agent_shard_audit/merged/raw_dialogue_checklist_results.regex_repaired.csv,tracked,
DUP-0001,7f6ba671a0c352f8c8fc4be07ba8ed6f89e28ec759a5e0d92a1b1a997a93cd5d,5079433,2,5079433,experiments/20260722_000940/inherited_resources/from_20260709_155523/raw_audit_grade8_9/raw_dialogue_checklist_results.regex_repaired.csv,tracked,tracked-historical-snapshots
DUP-0002,0a75359ce07b44faca763a84c349d82917f14fbc5929dd8e1079edb68ddc6b51,3330206,2,3330206,experiments/20260709_155523/outputs/hnmu_dialogue_audit/agent_shard_audit/merged/raw_dialogue_checklist_results.repaired.csv,tracked,
DUP-0002,0a75359ce07b44faca763a84c349d82917f14fbc5929dd8e1079edb68ddc6b51,3330206,2,3330206,experiments/20260722_000940/inherited_resources/from_20260709_155523/raw_audit_grade6_7/raw_dialogue_checklist_results.repaired.csv,tracked,tracked-historical-snapshots
DUP-0003,6648569d5afe006acdd6e4129ee04ab2b27dfea89439c507a3b8f3b23c5eb63e,2058115,3,4116230,experiments/20260722_000940/outputs/benchmark_conversion/full_v0/benchmark_candidate_splits.csv,tracked,tracked-historical-snapshots
DUP-0003,6648569d5afe006acdd6e4129ee04ab2b27dfea89439c507a3b8f3b23c5eb63e,2058115,3,4116230,experiments/20260727_170150/inherited_resources/from_20260722_000940/benchmark_conversion/full_v0/benchmark_candidate_splits.csv,tracked,tracked-historical-snapshots
DUP-0003,6648569d5afe006acdd6e4129ee04ab2b27dfea89439c507a3b8f3b23c5eb63e,2058115,3,4116230,shared/benchmark/datasets/candidate_pool/v1/candidates.csv,tracked,
DUP-0004,4deb97fee1851ed715495c8f4425403924218ee7fd4e7af38f229914d7bbccb8,2018257,2,2018257,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0001.png,ignored,legacy-learning-source-copies
DUP-0004,4deb97fee1851ed715495c8f4425403924218ee7fd4e7af38f229914d7bbccb8,2018257,2,2018257,shared/learning_resources/raw_page_images/sgk/tin_hoc_6/page_0001.png,ignored,shared-learning-source-payloads
DUP-0005,c8c480312b8abac3b6ca9a46ca5eae0a70aa52cc810bec77be2358710cfc756a,1966408,2,1966408,experiments/20260722_000940/outputs/benchmark_specification/task_discovery/method_revision_v3/candidate_principle_grounding_pool.csv,tracked,
DUP-0005,c8c480312b8abac3b6ca9a46ca5eae0a70aa52cc810bec77be2358710cfc756a,1966408,2,1966408,experiments/20260727_170150/inherited_resources/from_20260722_000940/benchmark_specification/candidate_grounding/candidate_principle_grounding_pool.csv,tracked,tracked-historical-snapshots
DUP-0006,26104be9660eddb8b742e4cfd8053c32fe708cd2fa690a898dd5944538a3454b,1776361,2,1776361,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN7/page_0001.png,ignored,legacy-learning-source-copies
DUP-0006,26104be9660eddb8b742e4cfd8053c32fe708cd2fa690a898dd5944538a3454b,1776361,2,1776361,shared/learning_resources/raw_page_images/sgk/tin_hoc_7/page_0001.png,ignored,shared-learning-source-payloads
DUP-0007,48b33bbff8646155db3283fa1799a6578b10e946542752363171a86bb94ab577,1435102,2,1435102,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN9/page_0001.png,ignored,legacy-learning-source-copies
DUP-0007,48b33bbff8646155db3283fa1799a6578b10e946542752363171a86bb94ab577,1435102,2,1435102,shared/learning_resources/raw_page_images/sgk/tin_hoc_9/page_0001.png,ignored,shared-learning-source-payloads
DUP-0008,d3f156dc80ce5815d79c07d23f75cc856de34241cf89155479daa25a17a95b57,1391127,2,1391127,experiments/20260722_000940/outputs/benchmark_conversion/conversion_input_pass_samples.csv,tracked,tracked-historical-snapshots
DUP-0008,d3f156dc80ce5815d79c07d23f75cc856de34241cf89155479daa25a17a95b57,1391127,2,1391127,shared/benchmark/datasets/phase1_pass_dialogues/v1/dialogues.csv,tracked,
DUP-0009,230bde7aef64205e204b66f307b59234ad2d4354ffc45e240fa652b152662a1e,1381528,2,1381528,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN8/page_0001.png,ignored,legacy-learning-source-copies
DUP-0009,230bde7aef64205e204b66f307b59234ad2d4354ffc45e240fa652b152662a1e,1381528,2,1381528,shared/learning_resources/raw_page_images/sgk/tin_hoc_8/page_0001.png,ignored,shared-learning-source-payloads
DUP-0010,0b36359836fe1ec32e789e28b933e16ba0e04e83323454b27a6aabbe6bacfa23,1125822,2,1125822,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN8/page_0019.png,ignored,legacy-learning-source-copies
DUP-0010,0b36359836fe1ec32e789e28b933e16ba0e04e83323454b27a6aabbe6bacfa23,1125822,2,1125822,shared/learning_resources/raw_page_images/sgk/tin_hoc_8/page_0019.png,ignored,shared-learning-source-payloads
DUP-0011,d9606df1cf9c0cb701949acfcd6a886d1d257129a13ce07a004c71a985d9b708,1124621,2,1124621,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0007.png,ignored,legacy-learning-source-copies
DUP-0011,d9606df1cf9c0cb701949acfcd6a886d1d257129a13ce07a004c71a985d9b708,1124621,2,1124621,shared/learning_resources/raw_page_images/sgk/tin_hoc_6/page_0007.png,ignored,shared-learning-source-payloads
DUP-0012,ccb962532bd576ec64ab663f96f30a352eab9eb608872e0e67c9a4225d046e5a,1109376,2,1109376,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN7/page_0057.png,ignored,legacy-learning-source-copies
DUP-0012,ccb962532bd576ec64ab663f96f30a352eab9eb608872e0e67c9a4225d046e5a,1109376,2,1109376,shared/learning_resources/raw_page_images/sgk/tin_hoc_7/page_0057.png,ignored,shared-learning-source-payloads
DUP-0013,bbdc8b269e7ca46c0244bc96e9c1e6a96b340639bae041a3966ed49d52271d61,1089649,2,1089649,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN8/page_0047.png,ignored,legacy-learning-source-copies
DUP-0013,bbdc8b269e7ca46c0244bc96e9c1e6a96b340639bae041a3966ed49d52271d61,1089649,2,1089649,shared/learning_resources/raw_page_images/sgk/tin_hoc_8/page_0047.png,ignored,shared-learning-source-payloads
DUP-0014,88b93f8fbc1c65725d03e8c3e5ca9792f4680da70e94b82a12e4a6a8f749ee97,1049279,2,1049279,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN7/page_0035.png,ignored,legacy-learning-source-copies
DUP-0014,88b93f8fbc1c65725d03e8c3e5ca9792f4680da70e94b82a12e4a6a8f749ee97,1049279,2,1049279,shared/learning_resources/raw_page_images/sgk/tin_hoc_7/page_0035.png,ignored,shared-learning-source-payloads
