sample_id,grade,turn_index,speaker,character_count
HNMU-G6-R0030-STT1,6,1,HS,61
HNMU-G6-R0030-STT1,6,2,AI,100
HNMU-G6-R0030-STT1,6,3,HS,24
HNMU-G6-R0030-STT1,6,4,AI,116
HNMU-G6-R0030-STT1,6,5,HS,26
HNMU-G6-R0030-STT1,6,6,AI,43
HNMU-G6-R0033-STT4,6,1,HS,64
HNMU-G6-R0033-STT4,6,2,AI,143
HNMU-G6-R0033-STT4,6,3,HS,15
HNMU-G6-R0033-STT4,6,4,AI,57
HNMU-G6-R0033-STT4,6,5,HS,16
HNMU-G6-R0034-STT5,6,1,HS,96
HNMU-G6-R0034-STT5,6,2,AI,80
HNMU-G6-R0034-STT5,6,3,HS,25
HNMU-G6-R0034-STT5,6,4,AI,166
HNMU-G6-R0034-STT5,6,5,HS,42
HNMU-G6-R0038-STT9,6,1,HS,75
HNMU-G6-R0038-STT9,6,2,AI,110
HNMU-G6-R0038-STT9,6,3,HS,33
HNMU-G6-R0038-STT9,6,4,AI,83
HNMU-G6-R0038-STT9,6,5,HS,18
HNMU-G6-R0041-STT12,6,1,HS,47
HNMU-G6-R0041-STT12,6,2,AI,107
HNMU-G6-R0041-STT12,6,3,HS,24
HNMU-G6-R0041-STT12,6,4,AI,66
HNMU-G6-R0041-STT12,6,5,HS,24
HNMU-G6-R0041-STT12,6,6,AI,52
HNMU-G6-R0041-STT12,6,7,HS,64
HNMU-G6-R0042-STT13,6,1,HS,57
HNMU-G6-R0042-STT13,6,2,AI,87
HNMU-G6-R0042-STT13,6,3,HS,10
HNMU-G6-R0042-STT13,6,4,AI,111
HNMU-G6-R0042-STT13,6,5,HS,17
HNMU-G6-R0042-STT13,6,6,AI,76
HNMU-G6-R0044-STT1,6,1,HS,76
HNMU-G6-R0044-STT1,6,2,AI,139
HNMU-G6-R0044-STT1,6,3,HS,12
HNMU-G6-R0044-STT1,6,4,AI,126
HNMU-G6-R0044-STT1,6,5,HS,40
HNMU-G6-R0044-STT1,6,6,AI,94
HNMU-G6-R0046-STT3,6,1,HS,79
HNMU-G6-R0046-STT3,6,2,AI,194
HNMU-G6-R0046-STT3,6,3,HS,35
HNMU-G6-R0046-STT3,6,4,AI,86
HNMU-G6-R0046-STT3,6,5,HS,44
HNMU-G6-R0047-STT4,6,1,HS,65
HNMU-G6-R0047-STT4,6,2,AI,147
HNMU-G6-R0047-STT4,6,3,HS,29
HNMU-G6-R0047-STT4,6,4,AI,126
HNMU-G6-R0047-STT4,6,5,HS,14
HNMU-G6-R0048-STT5,6,1,HS,87
HNMU-G6-R0048-STT5,6,2,AI,131
HNMU-G6-R0048-STT5,6,3,HS,58
HNMU-G6-R0048-STT5,6,4,AI,125
HNMU-G6-R0048-STT5,6,5,HS,46
HNMU-G6-R0049-STT6,6,1,HS,88
